Animal,Height (cm),Weight (kg),Lifespan (years),Diet,Habitat,Average Speed (km/h),Countries Found,Conservation Status,Gestation Period (days),Social Structure,Offspring per Birth,Country,At_Risk
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Portugal,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Netherlands,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Finland,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Romania,False
Fire Salamander,20.0,,12.5,Carnivore,"Forests, Caves",0.8,Europe,Near Threatened,45.0,Solitary,35.0,Belgium,False
Flying Fox,,,19.0,Herbivore,Forests,45.0,"Asia, Australia",Least Concern,145.0,Group-based,1.0,,False
Fossa,80.0,6.5,17.5,Carnivore,"Rainforests, Madagascar",46.5,Madagascar,Vulnerable,90.0,Solitary,3.0,,True
Frilled Lizard,,,12.5,"Insectivore, Herbivore",Northern Australia,29.0,Northern Australia,Least Concern,46.0,Solitary,15.5,,False
GalÃ¡pagos Penguin,51.0,2.0,,Carnivore,Coastal Areas,29.5,GalÃ¡pagos Islands,Endangered,40.0,Solitary,1.0,,True
Galápagos Penguin,50.5,2.15,17.5,"Carnivore, Piscivore",Galápagos Islands,6.5,Galápagos Islands,Endangered,39.0,Colony-based,1.0,Ecuador,True
Galápagos Tortoise,,,125.0,Herbivore,Galápagos Islands,0.4,Galápagos Islands,Vulnerable,135.0,Solitary,,Ecuador,True
Galliformes,,,,Omnivore,Varies,,Worldwide,Varies,,Varies,,Global,False
Gaur,240.0,950.0,22.5,Herbivore,"Grasslands, Forests",35.0,"Southeast Asia, South Asia",Vulnerable,277.5,Herd-based,1.0,,True
Gerenuk,92.5,40.0,9.0,Herbivore,"Savannas, Scrublands",55.0,"Eastern Africa, Horn of Africa",Near Threatened,192.5,Solitary,1.0,,False
Gharial,,,50.0,Carnivore,"Rivers, Lakes",32.0,Indian subcontinent,Critically Endangered,108.5,Solitary,57.5,India,True
Gharial,,,50.0,Carnivore,"Rivers, Lakes",32.0,Indian subcontinent,Critically Endangered,108.5,Solitary,57.5,Pakistan,True
Gharial,,,50.0,Carnivore,"Rivers, Lakes",32.0,Indian subcontinent,Critically Endangered,108.5,Solitary,57.5,Bangladesh,True
Gharial,,,50.0,Carnivore,"Rivers, Lakes",32.0,Indian subcontinent,Critically Endangered,108.5,Solitary,57.5,Sri Lanka,True
Gharial,,,50.0,Carnivore,"Rivers, Lakes",32.0,Indian subcontinent,Critically Endangered,108.5,Solitary,57.5,Nepal,True
Gharial,,,50.0,Carnivore,"Rivers, Lakes",32.0,Indian subcontinent,Critically Endangered,108.5,Solitary,57.5,Bhutan,True
Giant Pacific Octopus,,,4.0,Carnivore,Ocean Floor,24.0,Pacific Ocean,Data Deficient,60.0,Solitary,,Fiji,False
Giant Pacific Octopus,,,4.0,Carnivore,Ocean Floor,24.0,Pacific Ocean,Data Deficient,60.0,Solitary,,Vanuatu,False
Giant Pacific Octopus,,,4.0,Carnivore,Ocean Floor,24.0,Pacific Ocean,Data Deficient,60.0,Solitary,,Tonga,False
Giant Pacific Octopus,,,4.0,Carnivore,Ocean Floor,24.0,Pacific Ocean,Data Deficient,60.0,Solitary,,Micronesia,False
Giant Pacific Octopus,,,4.0,Carnivore,Ocean Floor,24.0,Pacific Ocean,Data Deficient,60.0,Solitary,,Marshall Islands,False
Giant Panda,80.0,97.5,25.0,Herbivore,Temperate Broadleaf Forests,32.0,China,Endangered,127.5,Solitary,1.0,,True
Gila Monster,,,,Carnivore,"Deserts, Scrubland",1.5,"Southwestern United States, Mexico",Least Concern,135.0,Solitary,,,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Brazil,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Colombia,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Peru,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Ecuador,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Argentina,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Chile,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Venezuela,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Paraguay,False
Glass Frog,4.95,,,Insectivore,Rainforests,0.8,Central and South America,Least Concern,15.0,Solitary,,Bolivia,False
Goblin Shark,,,32.5,Carnivore,Deep-sea,2.3,Worldwide,Data Deficient,,Solitary,,Global,False
Goblin Shark,,,32.5,Carnivore,Deep-sea,,Worldwide,Data Deficient,,Solitary,,Global,False
Golden Lion Tamarin,,,12.5,Omnivore,Tropical Rainforests,10.5,"Brazil, Southeastern Bahia",Endangered,127.5,Social groups,2.0,,True
Golden Poison Dart Frog,4.5,,13.5,Insectivore,Rainforests,0.3,Western Colombia,Near Threatened,14.0,Solitary,,,False
Great White Shark,,,35.0,Carnivore,Oceans,56.0,Oceans worldwide,Vulnerable,,Solitary,8.0,Global,True
Great White Shark,,,70.0,Carnivore,Oceans,56.0,Worldwide,Vulnerable,15.0,Solitary,9.5,Global,True
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Brazil,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Argentina,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Peru,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Colombia,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Chile,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Ecuador,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Venezuela,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Paraguay,False
Green Anaconda,,,12.5,Carnivore,"Swamps, Marshes",20.0,South America,Least Concern,155.0,Solitary,,Bolivia,False
Green Sea Turtle,,,90.0,Herbivore,"Oceans, Coastal Areas",2.4000000000000004,Oceans worldwide,Endangered,57.5,Solitary,,Global,True
Green Sea Turtle,95.0,129.0,80.0,Herbivore,Oceans,35.0,Worldwide,Endangered,60.0,Solitary,,Global,True
Grevy's Zebra,145.0,400.0,25.0,Herbivore,Grasslands,64.0,Eastern Africa,Endangered,393.0,Herd-based,1.0,Kenya,True
Grevy's Zebra,145.0,400.0,25.0,Herbivore,Grasslands,64.0,Eastern Africa,Endangered,393.0,Herd-based,1.0,Ethiopia,True
Grevy's Zebra,145.0,400.0,25.0,Herbivore,Grasslands,64.0,Eastern Africa,Endangered,393.0,Herd-based,1.0,Tanzania,True
Grevy's Zebra,145.0,400.0,25.0,Herbivore,Grasslands,64.0,Eastern Africa,Endangered,393.0,Herd-based,1.0,Somalia,True
Grevy's Zebra,145.0,400.0,25.0,Herbivore,Grasslands,64.0,Eastern Africa,Endangered,393.0,Herd-based,1.0,Rwanda,True
Hagfish,,,,Scavenger,"Ocean Floor, Deep-sea",0.8,Oceans worldwide,Least Concern,,Solitary,,Global,False
Hagfish,,,,Carnivore,Deep-sea,,Worldwide,Data Deficient,,Solitary,,Global,False
Harp Seal,,,27.5,Carnivore,"Arctic, Atlantic Ocean",20.5,"Arctic, Atlantic Ocean",Least Concern,335.0,Group-based,1.0,,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Brazil,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Colombia,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Peru,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Ecuador,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Argentina,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Chile,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Venezuela,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Paraguay,False
Harpy Eagle,96.5,6.75,30.0,Carnivore,Rainforests,50.0,Central and South America,Near Threatened,57.0,Solitary,1.0,Bolivia,False
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Kenya,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Uganda,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Ethiopia,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Nigeria,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,South Africa,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Tanzania,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Zambia,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Rwanda,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Malawi,True
Hippopotamus,140.0,2250.0,45.0,Herbivore,"Rivers, Lakes",25.0,Sub-Saharan Africa,Vulnerable,240.0,Group-based,1.0,Mozambique,True
Horseshoe Crab,,,,"Carnivore, Scavenger","Ocean Floor, Coastal Areas",1.2000000000000002,"Atlantic Ocean, Gulf of Mexico",Vulnerable,,Solitary,,,True
Hummingbird,10.25,11.0,4.0,"Nectar, Insects",Americas,60.0,Americas,Least Concern,17.5,Solitary,2.0,,False
Humpback Whale,,,47.5,Omnivore,Oceans,25.5,Worldwide,Least Concern,365.0,Solitary,1.0,Global,False
Iberian Lynx,65.0,11.5,11.5,Carnivore,Mediterranean Scrublands,75.0,"Spain, Portugal",Endangered,65.0,Solitary,2.5,,True
Indri,,,16.5,Herbivore,Rainforests,25.5,Madagascar,Critically Endangered,130.0,Solitary,1.0,,True
Japanese Giant Hornet,45.0,,4.5,"Carnivore, Insectivore","Forests, Mountains",49.0,"Japan, China, Southeast Asia",Not Evaluated,,Colony-based,,,False
Japanese Macaque,55.0,12.0,25.0,Omnivore,"Forests, Mountains",30.0,"Japan, China, North Korea",Least Concern,183.5,Social groups,1.0,,False
Kakapo,,,,Herbivore,"Forests, Islands",2.5,New Zealand,Critically Endangered,22.5,Solitary,2.5,,True
Kangaroo Rat,11.0,0.0925,3.5,Herbivore,Deserts,16.0,North America,Least Concern,23.0,Solitary,3.5,United States of America,False
Kangaroo Rat,11.0,0.0925,3.5,Herbivore,Deserts,16.0,North America,Least Concern,23.0,Solitary,3.5,Canada,False
Kangaroo Rat,11.0,0.0925,3.5,Herbivore,Deserts,16.0,North America,Least Concern,23.0,Solitary,3.5,Mexico,False
King Cobra,,,25.0,Carnivore,"Grasslands, Forests",20.0,"Southeast Asia, South Asia",Vulnerable,101.5,Solitary,30.0,,True
Kiwi,35.5,2.15,37.5,Omnivore,Forests,8.0,New Zealand,Vulnerable,77.5,Solitary,1.0,,True
Komodo Dragon,,,25.0,Carnivore,"Islands, Grasslands",20.0,Indonesia,Vulnerable,,Solitary,22.5,,True
Leaf-tailed Gecko,,,12.5,Insectivore,"Rainforests, Madagascar",0.9,Madagascar,Not Evaluated,52.5,Solitary,1.5,,False
Leafy Sea Dragon,,,,Carnivore,Seaweed Beds,,Southern Australia,Near Threatened,35.0,Solitary,,,False
Lemur,40.0,2.05,20.0,Omnivore,"Rainforests, Madagascar",26.5,Madagascar,Vulnerable,136.0,Group-based,1.5,,True
Lemur,47.5,2.55,20.0,Herbivore,Forests,29.0,Madagascar,Critically Endangered,127.5,Group-based,1.0,,True
Lion-tailed Macaque,52.5,6.25,25.0,"Omnivore, Herbivore","Western Ghats, India",35.0,India,Endangered,160.0,Social groups,1.0,,True
Lyrebird,90.0,1.05,17.5,Omnivore,Rainforests,0.025,Australia,Least Concern,52.5,Solitary,1.0,,False
Lyrebird,88.5,0.9750000000000001,,Omnivore,Forests,,Australia,Least Concern,52.5,Solitary,1.0,,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Indonesia,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Thailand,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Vietnam,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Malaysia,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Cambodia,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Laos,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Myanmar,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Philippines,False
Malayan Krait,,,12.5,Carnivore,"Forests, Grasslands",,Southeast Asia,Least Concern,225.0,Solitary,12.0,Singapore,False
Manatee,350.0,495.0,50.0,Herbivore,"Rivers, Coastal Areas",8.0,"North, Central, and South America",Vulnerable,407.5,Solitary,1.0,,True
Mandrill,,,30.0,Omnivore,Rainforests,30.0,Central Africa,Vulnerable,182.5,Social groups,1.0,,True
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Brazil,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Argentina,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Peru,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Colombia,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Chile,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Ecuador,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Venezuela,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Paraguay,False
Maned Wolf,87.0,22.5,7.0,Omnivore,"Grasslands, Forests",56.0,South America,Near Threatened,67.5,Solitary,4.0,Bolivia,False
Mantis Shrimp,,,,Carnivore,Coral Reefs,40.0,Oceans worldwide,Not Evaluated,25.0,Solitary,,Global,False
Markhor,,,11.5,Herbivore,Mountains,52.0,"Central Asia, South Asia, Middle East",Near Threatened,152.5,Solitary,1.5,,False
Meerkat,30.0,0.8,13.0,"Omnivore, Insectivore",Arid regions,32.0,"Kalahari Desert, Africa",Least Concern,71.5,Social groups,3.5,,False
Monitor Lizard,,,,Carnivore,Various,,"Africa, Asia, Australia, Oceania",Varies,,Solitary,,,False
Mountain Gorilla,160.0,135.0,37.5,Herbivore,"Rainforests, Mountains",40.0,"Democratic Republic of Congo, Uganda",Endangered,262.5,Group-based,1.0,,True
Naked Mole Rat,,,,"Herbivore, Insectivore",Underground Tunnels,0.055,East Africa,Least Concern,70.0,Eusocial,,,False
Narwhal,,,55.0,Carnivore,Arctic Waters,45.0,Arctic,Near Threatened,,Solitary,1.0,Greenland,False
Narwhal,,,55.0,Carnivore,Arctic Waters,45.0,Arctic,Near Threatened,,Solitary,1.0,Canada,False
Narwhal,,,55.0,Carnivore,Arctic Waters,45.0,Arctic,Near Threatened,,Solitary,1.0,Norway,False
Narwhal,,,55.0,Carnivore,Arctic Waters,45.0,Arctic,Near Threatened,,Solitary,1.0,Iceland,False
Narwhal,,,55.0,Carnivore,Arctic Waters,45.0,Arctic,Near Threatened,,Solitary,1.0,Russia,False
Nudibranch,,,,Carnivore,"Oceans, Coral Reefs",,Oceans worldwide,Not Evaluated,,Solitary,,Global,False
Numbat,40.0,0.66,,Insectivore,Eucalyptus Forests,8.0,Western Australia,Endangered,14.0,Solitary,5.0,,True
Okapi,225.0,275.0,25.0,Herbivore,Central Africa,56.0,Democratic Republic of Congo,Endangered,445.0,Solitary,1.0,,True
Okapi,225.0,275.0,25.0,Herbivore,Rainforests,58.0,Democratic Republic of Congo,Endangered,435.0,Solitary,1.0,,True
Orangutan,,56.0,37.5,Omnivore,Rainforests,9.0,"Indonesia, Malaysia",Critically Endangered,240.0,Solitary,1.0,,True
Pangolin,65.0,21.0,15.0,Insectivore,"Grasslands, Forests",32.0,"Asia, Africa",Critically Endangered,250.0,Solitary,1.0,,True
Patagonian Mara,60.0,10.75,7.5,Herbivore,Grasslands,30.0,"Argentina, Chile",Least Concern,77.5,Group-based,2.0,,False
Peacock Mantis Shrimp,,,,Carnivore,Coral Reefs,72.0,Indo-Pacific region,Not Evaluated,,Solitary,,Indonesia,False
Peacock Mantis Shrimp,,,,Carnivore,Coral Reefs,72.0,Indo-Pacific region,Not Evaluated,,Solitary,,Philippines,False
Peacock Mantis Shrimp,,,,Carnivore,Coral Reefs,72.0,Indo-Pacific region,Not Evaluated,,Solitary,,Australia,False
Peacock Mantis Shrimp,,,,Carnivore,Coral Reefs,72.0,Indo-Pacific region,Not Evaluated,,Solitary,,Malaysia,False
Pink Fairy Armadillo,12.0,,6.0,Insectivore,Grasslands,,Argentina,Near Threatened,62.0,Solitary,1.0,,False
Pink Fairy Armadillo,13.5,,4.0,Insectivore,Grasslands,0.8,Argentina,Near Threatened,62.0,Solitary,1.0,,False
Platypus,12.5,1.5499999999999998,13.5,"Carnivore, Insectivore",Eastern Australia,5.0,Australia,Near Threatened,,Solitary,2.0,,False
Polar Bear,,,27.5,Carnivore,Arctic,40.0,Arctic,Vulnerable,230.0,Solitary,1.5,Greenland,True
Polar Bear,,,27.5,Carnivore,Arctic,40.0,Arctic,Vulnerable,230.0,Solitary,1.5,Canada,True
Polar Bear,,,27.5,Carnivore,Arctic,40.0,Arctic,Vulnerable,230.0,Solitary,1.5,Norway,True
Polar Bear,,,27.5,Carnivore,Arctic,40.0,Arctic,Vulnerable,230.0,Solitary,1.5,Iceland,True
Polar Bear,,,27.5,Carnivore,Arctic,40.0,Arctic,Vulnerable,230.0,Solitary,1.5,Russia,True
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Brazil,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Colombia,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Peru,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Ecuador,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Argentina,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Chile,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Venezuela,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Paraguay,False
Potoo,39.5,0.6,12.5,"Carnivore, Insectivore","Forests, Woodlands",20.0,Central and South America,Least Concern,25.0,Solitary,1.0,Bolivia,False
Praying Mantis,,0.26,9.0,Carnivore,Worldwide,0.6,Worldwide,Not Evaluated,35.0,Solitary,,Global,False
Proboscis Monkey,60.0,19.0,,Herbivore,"Mangroves, Rainforests",28.0,"Borneo, Malaysia",Endangered,183.0,Social groups,1.0,,True
Pronghorn,92.5,55.0,12.5,Herbivore,Grasslands,88.5,North America,Least Concern,240.0,Group-based,1.0,United States of America,False
Pronghorn,92.5,55.0,12.5,Herbivore,Grasslands,88.5,North America,Least Concern,240.0,Group-based,1.0,Canada,False
Pronghorn,92.5,55.0,12.5,Herbivore,Grasslands,88.5,North America,Least Concern,240.0,Group-based,1.0,Mexico,False
Pufferfish,,,6.5,Carnivore,Tropical and Subtropical,8.0,Oceans worldwide,Not Evaluated,,Solitary,,Global,False
Quokka,47.0,3.75,7.5,Herbivore,"Scrublands, Forests",24.0,Australia,Vulnerable,27.5,Solitary,1.0,,True
Red Fox,42.5,5.0,4.0,Omnivore,"Forests, Grasslands",48.0,"North America, Europe, Asia",Least Concern,52.0,Solitary,5.0,,False
Red Kangaroo,160.0,56.5,,Herbivore,Grasslands,56.0,Australia,Least Concern,32.0,Group-based,1.0,,False
Red Panda,57.5,4.5,10.0,Herbivore,Himalayan Foothills,0.30000000000000004,"China, Nepal, Bhutan, India",Endangered,135.0,Solitary,2.5,,True
Red-Eyed Tree Frog,6.3,,,Insectivore,Rainforests,,Central America,Least Concern,6.0,Solitary,,,False
Rottweiler,62.5,48.0,9.0,Carnivore,Worldwide,35.0,Worldwide,Not Applicable,63.0,Pack-based,9.0,Global,False
Saola,,,,Herbivore,Forests,26.0,"Vietnam, Laos",Critically Endangered,240.0,Solitary,1.0,,True
Secretary Bird,125.0,3.4,12.5,Carnivore,"Grasslands, Savannas",24.0,Africa_full_region,Least Concern,44.0,Solitary,2.0,Africa,False
Serval,58.0,13.0,11.0,Carnivore,"Grasslands, Wetlands",44.0,Africa_full_region,Least Concern,63.0,Solitary,1.0,Africa,False
Shoebill,125.0,5.0,32.5,Carnivore,"Swamps, Marshes",15.0,Tropical Central Tropical Africa,Vulnerable,32.5,Solitary,2.0,,True
Shortfin Mako Shark,,,31.5,Carnivore,Oceans,45.0,Worldwide,Vulnerable,22.0,Solitary,1.0,Global,True
Siberian Husky,55.0,21.5,13.0,Carnivore,Cold Regions,57.5,"Siberia, Alaska",Not Applicable,61.5,Pack-based,5.0,,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Brazil,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Colombia,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Peru,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Ecuador,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Argentina,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Chile,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Venezuela,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Paraguay,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Bolivia,False
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Indonesia,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Thailand,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Vietnam,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Malaysia,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Cambodia,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Laos,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Myanmar,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Philippines,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Singapore,True
Snow Leopard,60.0,48.5,12.5,Carnivore,"Mountains, Steppes",50.0,Central and South Asia,Vulnerable,95.0,Solitary,3.0,,True
Snowy Owl,61.5,2.45,12.5,Carnivore,"Arctic, North America",80.0,"Arctic, North America",Least Concern,33.0,Solitary,7.0,,False
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Brazil,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Argentina,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Peru,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Colombia,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Chile,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Ecuador,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Venezuela,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Paraguay,True
